251,17,220
238,25,246
205,40,222
211,1,241
205,34,227
214,43,237
209,22,226
216,10,217
241,4,228
232,6,239
215,13,230
209,18,243
235,44,246
249,22,205
236,12,223
237,34,226
237,38,230
220,21,226
243,30,237
254,43,226
218,34,205
214,4,242
233,9,218
223,10,252
216,1,219
213,36,255
224,24,205
217,13,221
241,15,255
214,28,242
210,50,249
221,33,240
220,33,246
211,25,225
209,45,245
254,34,236
205,23,240
235,48,240
218,3,225
249,48,236
217,10,237
232,1,237
217,21,237
232,25,254
247,4,250
209,22,215
231,33,207
208,40,243
234,44,212
231,15,225
239,21,208
224,8,255
250,19,232
216,19,221
206,4,224
230,42,253
253,50,207
209,28,235
235,4,216
250,35,230
253,41,208
207,17,248
222,25,242
248,28,216
228,11,221
241,0,207
251,37,252
235,6,206
235,18,227
246,15,239
245,36,213
210,13,249
232,47,248
226,29,212
208,17,235
216,21,224
215,42,215
228,16,242
238,11,213
252,48,228
255,23,242
207,28,218
214,19,210
212,29,243
241,35,206
249,43,220
243,37,208
238,13,229
253,14,235
208,31,241
239,1,245
241,27,247
206,6,213
229,25,237
224,22,231
223,26,236
222,13,240
211,0,207
217,41,213
243,13,222
249,26,246
252,26,250
216,22,232
208,19,232
216,37,229
226,45,222
244,18,238
215,8,214
249,33,236
236,0,208
209,24,229
250,22,255
246,33,240
240,26,209
226,6,228
241,2,226
230,24,255
237,16,209
217,45,225
246,41,235
228,18,223
225,29,209
222,20,242
236,43,209
245,11,254
244,6,215
210,18,212
219,33,244
219,24,254
246,50,226
211,46,215
224,1,252
221,39,244
232,41,206
232,35,250
250,35,220
228,46,252
221,47,240
218,29,236
236,12,205
250,38,245
233,18,216
223,25,255
217,2,207
230,8,236
239,20,207
237,34,236
217,41,219
223,47,228
246,43,218
222,16,241
250,24,254
244,43,234
236,41,223
242,36,205
220,11,240
214,10,247
213,48,232
211,4,224
210,40,241
218,47,228
227,20,209
254,17,255
250,10,246
251,11,231
217,22,206
211,3,205
247,6,240
225,42,218
247,36,220
228,15,215
221,15,223
231,11,216
248,15,253
242,45,250
226,47,232
238,3,242
223,49,255
236,39,226
231,34,227
234,45,228
253,5,218
248,41,234
246,17,243
212,19,206
247,3,249
215,1,210
246,9,230
230,42,225
229,22,214
239,46,240
242,14,245
207,2,209
227,19,230
246,38,243
251,35,211
253,6,249
222,42,213
244,44,212
220,2,216
